
================================================================================
2020-10-22, 17:38:59
001  00029 |Loss: 3.461 | Acc: 55.000% 
001  00030 |Loss: 3.447 | Acc: 55.700% 
001  00031 |Loss: 3.434 | Acc: 56.419% 
001  00032 |Loss: 3.424 | Acc: 56.938% 
001  00033 |Loss: 3.409 | Acc: 57.758% 
001  00034 |Loss: 3.395 | Acc: 58.471% 
001  00035 |Loss: 3.384 | Acc: 59.000% 
001  00036 |Loss: 3.373 | Acc: 59.639% 
001  00037 |Loss: 3.362 | Acc: 60.108% 
001  00038 |Loss: 3.349 | Acc: 60.763% 
001  00039 |Loss: 3.338 | Acc: 61.436% 
001  00040 |Loss: 3.327 | Acc: 62.000% 
001  00041 |Loss: 3.319 | Acc: 62.415% 
001  00042 |Loss: 3.311 | Acc: 62.881% 
001  00043 |Loss: 3.303 | Acc: 63.279% 
001  00044 |Loss: 3.292 | Acc: 63.864% 
001  00045 |Loss: 3.285 | Acc: 64.200% 
001  00046 |Loss: 3.276 | Acc: 64.674% 
001  00047 |Loss: 3.268 | Acc: 65.064% 
001  00048 |Loss: 3.259 | Acc: 65.562% 
001  00049 |Loss: 3.251 | Acc: 65.918% 
001  00050 |Loss: 3.242 | Acc: 66.340% 
001  00051 |Loss: 3.234 | Acc: 66.745% 
001  00052 |Loss: 3.227 | Acc: 67.135% 
001  00053 |Loss: 3.220 | Acc: 67.491% 
001  00054 |Loss: 3.213 | Acc: 67.833% 
001  00055 |Loss: 3.206 | Acc: 68.127% 
001  00056 |Loss: 3.199 | Acc: 68.464% 
001  00057 |Loss: 3.192 | Acc: 68.772% 
001  00058 |Loss: 3.185 | Acc: 69.172% 
001  00059 |Loss: 3.177 | Acc: 69.458% 
001  00060 |Loss: 3.170 | Acc: 69.833% 
001  00061 |Loss: 3.164 | Acc: 70.082% 
001  00062 |Loss: 3.156 | Acc: 70.435% 
001  00063 |Loss: 3.149 | Acc: 70.730% 
001  00064 |Loss: 3.142 | Acc: 71.047% 
001  00065 |Loss: 3.135 | Acc: 71.400% 
001  00066 |Loss: 3.129 | Acc: 71.652% 
001  00067 |Loss: 3.122 | Acc: 71.955% 
001  00068 |Loss: 3.116 | Acc: 72.265% 
001  00069 |Loss: 3.109 | Acc: 72.565% 
001  00070 |Loss: 3.103 | Acc: 72.843% 
001  00071 |Loss: 3.097 | Acc: 73.127% 
001  00072 |Loss: 3.092 | Acc: 73.375% 
001  00073 |Loss: 3.085 | Acc: 73.644% 
001  00074 |Loss: 3.079 | Acc: 73.892% 
001  00075 |Loss: 3.074 | Acc: 74.147% 
001  00076 |Loss: 3.068 | Acc: 74.395% 
001  00077 |Loss: 3.064 | Acc: 74.584% 
001  00078 |Loss: 3.058 | Acc: 74.782% 
001  00079 |Loss: 3.052 | Acc: 74.975% 
001  00080 |Loss: 3.048 | Acc: 75.125% 
001  00081 |Loss: 3.042 | Acc: 75.358% 
001  00082 |Loss: 3.037 | Acc: 75.561% 
001  00083 |Loss: 3.031 | Acc: 75.783% 
001  00084 |Loss: 3.026 | Acc: 76.000% 
001  00085 |Loss: 3.021 | Acc: 76.212% 
001  00086 |Loss: 3.016 | Acc: 76.442% 
001  00087 |Loss: 3.011 | Acc: 76.609% 
001  00088 |Loss: 3.006 | Acc: 76.784% 
001  00089 |Loss: 3.002 | Acc: 76.921% 
001  00090 |Loss: 2.997 | Acc: 77.056% 
001  00091 |Loss: 2.994 | Acc: 77.176% 
001  00092 |Loss: 2.991 | Acc: 77.239% 
001  00093 |Loss: 2.986 | Acc: 77.409% 
001  00094 |Loss: 2.982 | Acc: 77.606% 
001  00095 |Loss: 2.977 | Acc: 77.768% 
001  00096 |Loss: 2.973 | Acc: 77.906% 
001  00097 |Loss: 2.969 | Acc: 78.031% 
001  00098 |Loss: 2.966 | Acc: 78.153% 
001  00099 |Loss: 2.962 | Acc: 78.303% 
001  00100 |Loss: 2.958 | Acc: 78.430% 
001  00101 |Loss: 2.954 | Acc: 78.554% 
001  00102 |Loss: 2.950 | Acc: 78.706% 
001  00103 |Loss: 2.946 | Acc: 78.854% 
001  00104 |Loss: 2.942 | Acc: 78.990% 
001  00105 |Loss: 2.939 | Acc: 79.143% 
001  00106 |Loss: 2.935 | Acc: 79.274% 
